scenario_id,scenario_name,repetition,condition,injected_at,detected_at,resolved_at,mttd_seconds,mttr_seconds,true_positive,false_positive,notes
S01,disk_fill_70,1,our_system,2026-05-13T10:55:02.417736,2026-05-13T10:55:44.492509,2026-05-13T10:55:45.233398,40.04153656959534,40.782427072525024,True,False,
S01,disk_fill_70,2,our_system,2026-05-13T10:55:50.235753,,,,,False,False,
S01,disk_fill_70,3,our_system,2026-05-13T10:57:55.459174,2026-05-13T10:58:23.566853,2026-05-13T10:58:24.221203,28.026691198349,28.681041479110718,True,False,
S01,disk_fill_70,4,our_system,2026-05-13T10:58:29.223422,2026-05-13T10:58:53.313330,2026-05-13T10:58:54.103934,24.021151304244995,24.811755180358887,True,False,
S01,disk_fill_70,5,our_system,2026-05-13T10:58:59.106287,2026-05-13T10:59:37.212078,2026-05-13T10:59:38.048800,38.038081645965576,38.874805212020874,True,False,
S02,disk_fill_80,1,our_system,2026-05-13T10:59:43.051137,2026-05-13T11:00:55.204572,2026-05-13T11:00:55.866565,72.0857048034668,72.74770140647888,True,False,
S02,disk_fill_80,2,our_system,2026-05-13T11:01:00.869249,2026-05-13T11:01:29.014815,2026-05-13T11:01:29.760522,28.026765823364258,28.772475957870483,True,False,
S02,disk_fill_80,3,our_system,2026-05-13T11:01:34.763201,2026-05-13T11:02:22.892707,2026-05-13T11:02:23.601462,48.05535054206848,48.76410531997681,True,False,
S02,disk_fill_80,4,our_system,2026-05-13T11:02:28.604059,2026-05-13T11:03:10.744593,2026-05-13T11:03:11.417380,42.050122022628784,42.7229106426239,True,False,
S02,disk_fill_80,5,our_system,2026-05-13T11:03:16.420474,2026-05-13T11:03:46.523258,2026-05-13T11:03:47.091190,30.03140616416931,30.599339246749878,True,False,
S03,disk_fill_90,1,our_system,2026-05-13T11:03:52.093693,2026-05-13T11:04:56.239036,2026-05-13T11:04:57.085507,64.07270669937134,64.91918063163757,True,False,
S03,disk_fill_90,2,our_system,2026-05-13T11:05:02.090425,2026-05-13T11:06:12.264376,2026-05-13T11:06:12.921438,70.09319591522217,70.75026202201843,True,False,
S03,disk_fill_90,3,our_system,2026-05-13T11:06:17.926057,2026-05-13T11:08:12.168110,2026-05-13T11:08:12.921804,114.15780234336853,114.91149735450745,True,False,
S03,disk_fill_90,4,our_system,2026-05-13T11:08:17.924690,2026-05-13T11:10:14.158391,2026-05-13T11:10:14.996187,116.15645718574524,116.9942524433136,True,False,
S03,disk_fill_90,5,our_system,2026-05-13T11:10:19.999134,2026-05-13T11:11:10.129668,2026-05-13T11:11:10.999146,50.05350184440613,50.92298626899719,True,False,
S04,memory_press_70,1,our_system,2026-05-13T11:11:16.003354,2026-05-13T11:12:10.205550,2026-05-13T11:12:11.117952,54.140714168548584,55.05312943458557,True,False,
S04,memory_press_70,2,our_system,2026-05-13T11:12:16.121823,2026-05-13T11:13:06.290265,2026-05-13T11:13:07.379332,50.075541973114014,51.16460967063904,True,False,
S04,memory_press_70,3,our_system,2026-05-13T11:13:12.380479,2026-05-13T11:13:50.481227,2026-05-13T11:13:51.002517,38.04547047615051,38.56676363945007,True,False,
S04,memory_press_70,4,our_system,2026-05-13T11:13:56.003028,2026-05-13T11:14:24.283567,2026-05-13T11:14:25.597617,28.103222131729126,29.417283535003662,True,False,
S04,memory_press_70,5,our_system,2026-05-13T11:14:31.494748,,,,,False,False,
S05,memory_press_90,1,our_system,2026-05-13T11:16:36.731573,2026-05-13T11:17:00.854848,2026-05-13T11:17:02.154222,24.05501627922058,25.35438895225525,True,False,
S05,memory_press_90,2,our_system,2026-05-13T11:17:07.155652,2026-05-13T11:17:41.341857,2026-05-13T11:17:42.134420,34.044352769851685,34.836918592453,True,False,
S05,memory_press_90,3,our_system,2026-05-13T11:17:47.135634,2026-05-13T11:18:27.251702,2026-05-13T11:18:28.001849,40.05262613296509,40.80277705192566,True,False,
S05,memory_press_90,4,our_system,2026-05-13T11:18:33.002768,2026-05-13T11:19:01.121322,2026-05-13T11:19:01.807525,28.03060293197632,28.716809272766113,True,False,
S05,memory_press_90,5,our_system,2026-05-13T11:19:06.807990,2026-05-13T11:19:46.928881,2026-05-13T11:19:47.906454,40.059293031692505,41.036844968795776,True,False,
S06,cpu_stress_2core,1,our_system,2026-05-13T11:19:52.906939,2026-05-13T11:20:37.113349,2026-05-13T11:20:37.784353,44.14091205596924,44.811917543411255,True,False,
S06,cpu_stress_2core,2,our_system,2026-05-13T11:20:42.803374,2026-05-13T11:21:02.877380,2026-05-13T11:21:03.675401,20.044707536697388,20.842731952667236,True,False,
S06,cpu_stress_2core,3,our_system,2026-05-13T11:21:08.704933,2026-05-13T11:22:08.937230,2026-05-13T11:22:09.800801,60.18217444419861,61.04575729370117,True,False,
S06,cpu_stress_2core,4,our_system,2026-05-13T11:22:14.802218,2026-05-13T11:23:05.030255,2026-05-13T11:23:05.918384,50.15599846839905,51.04412913322449,True,False,
S06,cpu_stress_2core,5,our_system,2026-05-13T11:23:10.933841,2026-05-13T11:23:49.114537,2026-05-13T11:23:49.927530,38.11883044242859,38.93182682991028,True,False,
S07,cpu_stress_4core,1,our_system,2026-05-13T11:23:54.960829,2026-05-13T11:24:55.338368,2026-05-13T11:24:55.909876,60.29369139671326,60.86520171165466,True,False,
S07,cpu_stress_4core,2,our_system,2026-05-13T11:25:00.910338,2026-05-13T11:26:01.277858,2026-05-13T11:26:01.903284,60.30625319480896,60.931684255599976,True,False,
S07,cpu_stress_4core,3,our_system,2026-05-13T11:26:06.903737,2026-05-13T11:26:37.130817,2026-05-13T11:26:37.947137,30.149333000183105,30.965656995773315,True,False,
S07,cpu_stress_4core,4,our_system,2026-05-13T11:26:42.973834,2026-05-13T11:27:37.359482,2026-05-13T11:27:38.341155,54.32431650161743,55.30600190162659,True,False,
S07,cpu_stress_4core,5,our_system,2026-05-13T11:27:43.365425,2026-05-13T11:28:43.809127,2026-05-13T11:28:44.592979,60.330849170684814,61.114707708358765,True,False,
S08,zombie_5,1,our_system,2026-05-13T11:28:49.593519,2026-05-13T11:30:26.802110,2026-05-13T11:30:27.411985,96.12645125389099,96.73632884025574,True,False,
S08,zombie_5,2,our_system,2026-05-13T11:30:32.418020,2026-05-13T11:31:51.545205,2026-05-13T11:31:52.137763,78.09712481498718,78.68968963623047,True,False,
S08,zombie_5,3,our_system,2026-05-13T11:31:57.163284,2026-05-13T11:32:38.264186,2026-05-13T11:32:39.004350,40.05439376831055,40.79456114768982,True,False,
S08,zombie_5,4,our_system,2026-05-13T11:32:44.010938,2026-05-13T11:33:07.067047,2026-05-13T11:33:07.888036,22.02269673347473,22.84368896484375,True,False,
S08,zombie_5,5,our_system,2026-05-13T11:33:12.894791,2026-05-13T11:33:37.950702,2026-05-13T11:33:38.868498,24.025336980819702,24.94313669204712,True,False,
S09,zombie_20,1,our_system,2026-05-13T11:33:43.875067,2026-05-13T11:34:14.950055,2026-05-13T11:34:15.699659,30.043797969818115,30.793405532836914,True,False,
S09,zombie_20,2,our_system,2026-05-13T11:34:20.724495,2026-05-13T11:35:01.828083,2026-05-13T11:35:02.357291,40.049919843673706,40.57912874221802,True,False,
