scenario_id,scenario_name,repetition,condition,injected_at,detected_at,resolved_at,mttd_seconds,mttr_seconds,true_positive,false_positive,notes
S07,cpu_stress_4core,5,no_automation,2026-05-14T13:04:48.277025,2026-05-14T13:04:53.279719,2026-05-14T13:04:53.279734,900.0,3600.0,True,False,
S08,zombie_5,1,no_automation,2026-05-14T13:04:58.316275,2026-05-14T13:05:04.337603,2026-05-14T13:05:04.337622,900.0,3600.0,True,False,
S08,zombie_5,2,no_automation,2026-05-14T13:05:09.339125,2026-05-14T13:05:15.341744,2026-05-14T13:05:15.341764,900.0,3600.0,True,False,
S08,zombie_5,3,no_automation,2026-05-14T13:05:20.343098,2026-05-14T13:05:26.345748,2026-05-14T13:05:26.345768,900.0,3600.0,True,False,
S08,zombie_5,4,no_automation,2026-05-14T13:05:31.347280,2026-05-14T13:05:37.349741,2026-05-14T13:05:37.349760,900.0,3600.0,True,False,
S08,zombie_5,5,no_automation,2026-05-14T13:05:42.351133,2026-05-14T13:05:48.354059,2026-05-14T13:05:48.354079,900.0,3600.0,True,False,
S09,zombie_20,1,no_automation,2026-05-14T13:05:53.355466,2026-05-14T13:05:59.358765,2026-05-14T13:05:59.358793,900.0,3600.0,True,False,
S09,zombie_20,2,no_automation,2026-05-14T13:06:04.363905,2026-05-14T13:06:10.367072,2026-05-14T13:06:10.367093,900.0,3600.0,True,False,
S09,zombie_20,3,no_automation,2026-05-14T13:06:15.368647,2026-05-14T13:06:21.371752,2026-05-14T13:06:21.371772,900.0,3600.0,True,False,
S09,zombie_20,4,no_automation,2026-05-14T13:06:26.373137,2026-05-14T13:06:32.376232,2026-05-14T13:06:32.376253,900.0,3600.0,True,False,
S09,zombie_20,5,no_automation,2026-05-14T13:06:37.380410,2026-05-14T13:06:43.383345,2026-05-14T13:06:43.383366,900.0,3600.0,True,False,
S10,log_flood_low,1,no_automation,2026-05-14T13:06:48.384933,2026-05-14T13:06:53.385753,2026-05-14T13:06:53.385768,900.0,3600.0,True,False,
S10,log_flood_low,2,no_automation,2026-05-14T13:06:58.388229,2026-05-14T13:07:03.390328,2026-05-14T13:07:03.390343,900.0,3600.0,True,False,
S10,log_flood_low,3,no_automation,2026-05-14T13:07:08.405934,2026-05-14T13:07:13.406465,2026-05-14T13:07:13.406479,900.0,3600.0,True,False,
S10,log_flood_low,4,no_automation,2026-05-14T13:07:18.419529,2026-05-14T13:07:23.420046,2026-05-14T13:07:23.420058,900.0,3600.0,True,False,
S10,log_flood_low,5,no_automation,2026-05-14T13:07:28.454667,2026-05-14T13:07:33.455544,2026-05-14T13:07:33.455558,900.0,3600.0,True,False,
S11,log_flood_high,1,no_automation,2026-05-14T13:07:38.485778,2026-05-14T13:07:43.486366,2026-05-14T13:07:43.486381,900.0,3600.0,True,False,
S11,log_flood_high,2,no_automation,2026-05-14T13:07:48.502248,2026-05-14T13:07:53.503104,2026-05-14T13:07:53.503116,900.0,3600.0,True,False,
S11,log_flood_high,3,no_automation,2026-05-14T13:07:58.510573,2026-05-14T13:08:03.511300,2026-05-14T13:08:03.511311,900.0,3600.0,True,False,
S11,log_flood_high,4,no_automation,2026-05-14T13:08:08.534572,2026-05-14T13:08:13.535703,2026-05-14T13:08:13.535713,900.0,3600.0,True,False,
S11,log_flood_high,5,no_automation,2026-05-14T13:08:18.538913,2026-05-14T13:08:23.539426,2026-05-14T13:08:23.539467,900.0,3600.0,True,False,
S12,nfs_hang,1,no_automation,2026-05-14T13:08:28.554556,2026-05-14T13:08:33.555103,2026-05-14T13:08:33.555118,900.0,3600.0,True,False,
S12,nfs_hang,2,no_automation,2026-05-14T13:08:39.565630,2026-05-14T13:08:44.566174,2026-05-14T13:08:44.566190,900.0,3600.0,True,False,
S12,nfs_hang,3,no_automation,2026-05-14T13:08:50.577170,2026-05-14T13:08:55.577836,2026-05-14T13:08:55.577851,900.0,3600.0,True,False,
S12,nfs_hang,4,no_automation,2026-05-14T13:09:01.590894,2026-05-14T13:09:06.591470,2026-05-14T13:09:06.591485,900.0,3600.0,True,False,
S12,nfs_hang,5,no_automation,2026-05-14T13:09:12.602455,2026-05-14T13:09:17.602962,2026-05-14T13:09:17.602979,900.0,3600.0,True,False,
S13,db_vacuum_starve,1,no_automation,2026-05-14T13:09:24.602711,2026-05-14T13:09:29.602876,2026-05-14T13:09:29.602891,900.0,3600.0,True,False,
S13,db_vacuum_starve,2,no_automation,2026-05-14T13:09:34.603457,2026-05-14T13:09:39.603623,2026-05-14T13:09:39.603639,900.0,3600.0,True,False,
S13,db_vacuum_starve,3,no_automation,2026-05-14T13:09:44.604192,2026-05-14T13:09:49.604325,2026-05-14T13:09:49.604340,900.0,3600.0,True,False,
S13,db_vacuum_starve,4,no_automation,2026-05-14T13:09:54.604981,2026-05-14T13:09:59.605142,2026-05-14T13:09:59.605157,900.0,3600.0,True,False,
S13,db_vacuum_starve,5,no_automation,2026-05-14T13:10:04.605783,2026-05-14T13:10:09.605934,2026-05-14T13:10:09.605948,900.0,3600.0,True,False,
