scenario_id,scenario_name,repetition,condition,injected_at,detected_at,resolved_at,mttd_seconds,mttr_seconds,true_positive,false_positive,notes
S07,cpu_stress_4core,5,rule_based,2026-05-14T13:17:30.426413,2026-05-14T13:17:35.432459,2026-05-14T13:17:35.432475,120.0,300.0,True,False,
S08,zombie_5,1,rule_based,2026-05-14T13:17:40.447198,2026-05-14T13:17:46.464941,2026-05-14T13:17:46.464960,120.0,300.0,True,False,
S08,zombie_5,2,rule_based,2026-05-14T13:17:51.466386,2026-05-14T13:17:57.468874,2026-05-14T13:17:57.468894,120.0,300.0,True,False,
S08,zombie_5,3,rule_based,2026-05-14T13:18:02.470318,2026-05-14T13:18:08.472666,2026-05-14T13:18:08.472686,120.0,300.0,True,False,
S08,zombie_5,4,rule_based,2026-05-14T13:18:13.474192,2026-05-14T13:18:19.477031,2026-05-14T13:18:19.477051,120.0,300.0,True,False,
S08,zombie_5,5,rule_based,2026-05-14T13:18:24.478491,2026-05-14T13:18:30.480887,2026-05-14T13:18:30.480905,120.0,300.0,True,False,
S09,zombie_20,1,rule_based,2026-05-14T13:18:35.482298,2026-05-14T13:18:41.485224,2026-05-14T13:18:41.485243,120.0,300.0,True,False,
S09,zombie_20,2,rule_based,2026-05-14T13:18:46.486644,2026-05-14T13:18:52.489601,2026-05-14T13:18:52.489619,120.0,300.0,True,False,
S09,zombie_20,3,rule_based,2026-05-14T13:18:57.491076,2026-05-14T13:19:03.493959,2026-05-14T13:19:03.493978,120.0,300.0,True,False,
S09,zombie_20,4,rule_based,2026-05-14T13:19:08.495720,2026-05-14T13:19:14.498703,2026-05-14T13:19:14.498722,120.0,300.0,True,False,
S09,zombie_20,5,rule_based,2026-05-14T13:19:19.500403,2026-05-14T13:19:25.504400,2026-05-14T13:19:25.504419,120.0,300.0,True,False,
S10,log_flood_low,1,rule_based,2026-05-14T13:19:30.506005,2026-05-14T13:19:35.506799,2026-05-14T13:19:35.506811,120.0,300.0,True,False,
S10,log_flood_low,2,rule_based,2026-05-14T13:19:40.533085,2026-05-14T13:19:45.533577,2026-05-14T13:19:45.533589,120.0,300.0,True,False,
S10,log_flood_low,3,rule_based,2026-05-14T13:19:50.547379,2026-05-14T13:19:55.547963,2026-05-14T13:19:55.547977,120.0,300.0,True,False,
S10,log_flood_low,4,rule_based,2026-05-14T13:20:00.587857,2026-05-14T13:20:05.589672,2026-05-14T13:20:05.589682,120.0,300.0,True,False,
S10,log_flood_low,5,rule_based,2026-05-14T13:20:10.642119,2026-05-14T13:20:15.642713,2026-05-14T13:20:15.642724,120.0,300.0,True,False,
S11,log_flood_high,1,rule_based,2026-05-14T13:20:20.686178,2026-05-14T13:20:25.686751,2026-05-14T13:20:25.686763,120.0,300.0,True,False,
S11,log_flood_high,2,rule_based,2026-05-14T13:20:30.688482,2026-05-14T13:20:35.689273,2026-05-14T13:20:35.689285,120.0,300.0,True,False,
S11,log_flood_high,3,rule_based,2026-05-14T13:20:40.695649,2026-05-14T13:20:45.696310,2026-05-14T13:20:45.696321,120.0,300.0,True,False,
S11,log_flood_high,4,rule_based,2026-05-14T13:20:50.729831,2026-05-14T13:20:55.730314,2026-05-14T13:20:55.730327,120.0,300.0,True,False,
S11,log_flood_high,5,rule_based,2026-05-14T13:21:00.754712,2026-05-14T13:21:05.755219,2026-05-14T13:21:05.755234,120.0,300.0,True,False,
S12,nfs_hang,1,rule_based,2026-05-14T13:21:10.787322,2026-05-14T13:21:15.788044,2026-05-14T13:21:15.788058,120.0,300.0,True,False,
S12,nfs_hang,2,rule_based,2026-05-14T13:21:21.806116,2026-05-14T13:21:26.806703,2026-05-14T13:21:26.806719,120.0,300.0,True,False,
S12,nfs_hang,3,rule_based,2026-05-14T13:21:32.816771,2026-05-14T13:21:37.817387,2026-05-14T13:21:37.817403,120.0,300.0,True,False,
S12,nfs_hang,4,rule_based,2026-05-14T13:21:43.828724,2026-05-14T13:21:48.829272,2026-05-14T13:21:48.829291,120.0,300.0,True,False,
S12,nfs_hang,5,rule_based,2026-05-14T13:21:54.839700,2026-05-14T13:21:59.840241,2026-05-14T13:21:59.840254,120.0,300.0,True,False,
S13,db_vacuum_starve,1,rule_based,2026-05-14T13:22:05.988570,2026-05-14T13:22:10.988736,2026-05-14T13:22:10.988750,120.0,300.0,True,False,
S13,db_vacuum_starve,2,rule_based,2026-05-14T13:22:15.989279,2026-05-14T13:22:20.989463,2026-05-14T13:22:20.989478,120.0,300.0,True,False,
S13,db_vacuum_starve,3,rule_based,2026-05-14T13:22:25.991236,2026-05-14T13:22:30.991352,2026-05-14T13:22:30.991367,120.0,300.0,True,False,
S13,db_vacuum_starve,4,rule_based,2026-05-14T13:22:35.991916,2026-05-14T13:22:40.992055,2026-05-14T13:22:40.992071,120.0,300.0,True,False,
S13,db_vacuum_starve,5,rule_based,2026-05-14T13:22:45.992604,2026-05-14T13:22:50.992806,2026-05-14T13:22:50.992821,120.0,300.0,True,False,
